127.0.0.1 - - [15/Apr/2016:15:21:14 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:14 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:20 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:20 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:21 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:21 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:33 +0200] "GET /DemoJeff/tetajeff?login=t%C3%AAte+%C3%A0+jeff&passwd=mot+de+pass HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:55 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:56 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:56 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:21:57 +0200] "GET /DemoJeff/ HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [15/Apr/2016:15:24:55 +0200] "GET /DemoJeff/tetajeff?login=tete+%C3%A0+jeffatoun&passwd=ton+mot+de+pass HTTP/1.1" 200 419
